sex,age,mrd,educ,cworker,region,race,earnings,height,weight,occupation
0:female,32,"1:Married, sps in hh",13,1:Private company,1:Northeast,non-hispanic white,33712.969,61,135,1
0:female,38,"1:Married, sps in hh",16,1:Private company,2:Midwest,non-hispanic white,44152.16,62,120,1
0:female,36,3:Divorced,16,1:Private company,4:West,non-hispanic white,28560.387,66,140,1
0:female,50,"1:Married, sps in hh",13,3:State Govt emp,3:South,non-hispanic white,84054.75,66,200,1
0:female,29,6:Never Married,18,1:Private company,2:Midwest,non-hispanic white,33712.969,65,145,1
0:female,46,3:Divorced,16,1:Private company,4:West,other,49430.109,61,113,1
0:female,58,"1:Married, sps in hh",12,4:Local Govt emp,3:South,non-hispanic white,23362.873,63,165,1
0:female,43,3:Divorced,12,1:Private company,2:Midwest,non-hispanic white,23362.873,67,160,1
0:female,45,3:Divorced,15,1:Private company,4:West,non-hispanic white,84054.75,65,145,1
0:female,29,"1:Married, sps in hh",12,1:Private company,2:Midwest,non-hispanic white,44152.16,67,135,1
0:female,54,3:Widowed,16,1:Private company,3:South,non-hispanic white,28560.387,66,150,1
0:female,42,"1:Married, sps in hh",16,1:Private company,2:Midwest,non-hispanic white,84054.75,66,145,1
0:female,43,"1:Married, sps in hh",12,1:Private company,3:South,hispanic,84054.75,68,148,1
0:female,31,3:Widowed,12,1:Private company,2:Midwest,hispanic,28560.387,66,138,1
0:female,54,"1:Married, sps in hh",12,1:Private company,3:South,non-hispanic white,49430.109,66,160,1
0:female,59,"1:Married, sps in hh",16,1:Private company,3:South,non-hispanic white,84054.75,70,155,1
0:female,59,"1:Married, sps in hh",15,6:Self-employed,3:South,non-hispanic white,84054.75,66,135,1
0:female,50,"1:Married, sps in hh",12,1:Private company,1:Northeast,non-hispanic white,44152.16,66,185,1
0:female,39,"1:Married, sps in hh",12,2:Fed Govt emp,3:South,non-hispanic white,84054.75,62,148,1
0:female,35,"1:Married, sps in hh",16,1:Private company,1:Northeast,non-hispanic white,84054.75,61,140,1
0:female,37,"1:Married, sps in hh",16,1:Private company,2:Midwest,non-hispanic white,84054.75,62,104,1
0:female,55,"1:Married, sps in hh",13,1:Private company,1:Northeast,non-hispanic white,84054.75,64,160,1
0:female,46,6:Never Married,17,4:Local Govt emp,1:Northeast,non-hispanic white,38925.336,65,140,1
0:female,63,3:Divorced,18,4:Local Govt emp,4:West,non-hispanic white,16081.588,70,145,1
0:female,54,3:Divorced,18,1:Private company,4:West,non-hispanic white,44152.16,62,154,1
0:female,48,"1:Married, sps in hh",18,2:Fed Govt emp,3:South,non-hispanic white,84054.75,64,165,1
0:female,32,6:Never Married,16,1:Private company,1:Northeast,non-hispanic white,84054.75,63,115,1
0:female,31,"1:Married, sps in hh",14,1:Private company,4:West,hispanic,84054.75,70,168,1
0:female,27,"1:Married, sps in hh",16,1:Private company,1:Northeast,non-hispanic black,84054.75,68,142,1
0:female,43,"1:Married, sps in hh",13,1:Private company,1:Northeast,non-hispanic white,84054.75,67,135,1
0:female,47,"1:Married, sps in hh",12,1:Private company,2:Midwest,non-hispanic white,33712.969,67,150,1
0:female,34,3:Divorced,13,1:Private company,3:South,non-hispanic black,11953.455,63,133,1
0:female,48,"1:Married, sps in hh",16,1:Private company,2:Midwest,non-hispanic white,84054.75,62,117,1
0:female,33,"1:Married, sps in hh",16,1:Private company,4:West,non-hispanic white,84054.75,68,115,1
0:female,40,6:Never Married,17,4:Local Govt emp,1:Northeast,non-hispanic white,84054.75,69,204,1
0:female,31,3:Divorced,13,3:State Govt emp,2:Midwest,non-hispanic white,23362.873,65,165,1
0:female,39,"1:Married, sps in hh",14,1:Private company,2:Midwest,non-hispanic white,38925.336,64,155,1
0:female,28,6:Never Married,14,3:State Govt emp,1:Northeast,non-hispanic white,10865.429,62,150,1
0:female,40,"1:Married, sps in hh",15,1:Private company,4:West,non-hispanic white,84054.75,67,150,1
0:female,38,"1:Married, sps in hh",14,1:Private company,4:West,non-hispanic white,84054.75,62,120,1
0:female,58,"1:Married, sps in hh",13,4:Local Govt emp,1:Northeast,non-hispanic white,38925.336,65,160,1
0:female,34,3:Divorced,15,1:Private company,4:West,non-hispanic white,12954.766,63,135,1
0:female,43,3:Divorced,13,2:Fed Govt emp,3:South,non-hispanic black,33712.969,67,165,1
0:female,35,"1:Married, sps in hh",14,1:Private company,1:Northeast,non-hispanic white,84054.75,63,114,1
0:female,31,"1:Married, sps in hh",16,1:Private company,1:Northeast,non-hispanic white,84054.75,66,152,1
0:female,38,"1:Married, sps in hh",18,3:State Govt emp,3:South,non-hispanic white,84054.75,66,120,1
0:female,29,3:Divorced,16,1:Private company,2:Midwest,non-hispanic white,33712.969,61,120,1
0:female,56,3:Divorced,16,3:State Govt emp,4:West,non-hispanic white,49430.109,67,250,1
0:female,28,6:Never Married,18,1:Private company,1:Northeast,non-hispanic black,49430.109,67,115,1
0:female,31,"1:Married, sps in hh",16,1:Private company,4:West,non-hispanic white,84054.75,67,140,1
0:female,41,3:Divorced,13,1:Private company,2:Midwest,non-hispanic white,23362.873,62,185,1
0:female,36,"1:Married, sps in hh",17,1:Private company,1:Northeast,non-hispanic white,84054.75,66,110,1
0:female,41,6:Never Married,15,1:Private company,3:South,non-hispanic black,49430.109,64,130,1
0:female,46,"1:Married, sps in hh",12,1:Private company,2:Midwest,non-hispanic white,84054.75,64,190,1
0:female,55,"1:Married, sps in hh",17,1:Private company,4:West,non-hispanic white,84054.75,68,125,1
0:female,50,"1:Married, sps in hh",14,1:Private company,4:West,non-hispanic white,84054.75,64,160,1
0:female,58,3:Widowed,12,4:Local Govt emp,3:South,non-hispanic white,23362.873,65,140,1
0:female,45,"1:Married, sps in hh",14,2:Fed Govt emp,2:Midwest,non-hispanic white,84054.75,65,128,1
0:female,41,3:Divorced,12,1:Private company,2:Midwest,non-hispanic white,44152.16,67,245,1
0:female,31,6:Never Married,11,1:Private company,3:South,non-hispanic white,23362.873,66,140,1
0:female,41,"1:Married, sps in hh",12,1:Private company,4:West,non-hispanic white,23362.873,63,130,1
0:female,65,3:Divorced,18,1:Private company,3:South,non-hispanic white,38925.336,62,130,1
0:female,36,"1:Married, sps in hh",16,1:Private company,4:West,non-hispanic white,84054.75,63,117,1
0:female,42,3:Divorced,14,4:Local Govt emp,4:West,hispanic,28560.387,61,160,1
0:female,33,"1:Married, sps in hh",12,6:Self-employed,1:Northeast,non-hispanic white,28560.387,65,127,1
0:female,54,"1:Married, sps in hh",16,3:State Govt emp,4:West,other,84054.75,63,120,1
0:female,39,"1:Married, sps in hh",16,1:Private company,2:Midwest,non-hispanic white,84054.75,67,169,1
0:female,57,"1:Married, sps in hh",12,1:Private company,4:West,non-hispanic white,84054.75,72,150,1
0:female,49,6:Never Married,16,4:Local Govt emp,3:South,non-hispanic black,23362.873,66,140,1
0:female,53,"1:Married, sps in hh",10,4:Local Govt emp,4:West,non-hispanic white,23362.873,66,145,1
0:female,35,6:Never Married,18,1:Private company,3:South,non-hispanic white,33712.969,64,110,1
0:female,36,"1:Married, sps in hh",16,4:Local Govt emp,4:West,hispanic,84054.75,64,145,1
0:female,29,6:Never Married,18,2:Fed Govt emp,3:South,non-hispanic black,28560.387,64,147,1
0:female,41,"1:Married, sps in hh",16,1:Private company,1:Northeast,non-hispanic black,84054.75,65,135,1
0:female,44,"1:Married, sps in hh",16,1:Private company,4:West,non-hispanic white,44152.16,67,160,1
0:female,59,3:Widowed,14,1:Private company,2:Midwest,non-hispanic white,28560.387,63,165,1
0:female,32,"1:Married, sps in hh",14,6:Self-employed,3:South,hispanic,49430.109,67,135,1
0:female,46,"1:Married, sps in hh",14,1:Private company,3:South,non-hispanic white,84054.75,66,501,1
0:female,31,6:Never Married,16,1:Private company,2:Midwest,non-hispanic white,84054.75,65,115,1
0:female,40,"1:Married, sps in hh",16,1:Private company,3:South,non-hispanic black,84054.75,66,135,1
0:female,41,"1:Married, sps in hh",18,6:Self-employed,4:West,non-hispanic black,44152.16,61,115,1
0:female,34,5:Separated,12,1:Private company,3:South,non-hispanic white,19237.195,67,120,1
0:female,29,"1:Married, sps in hh",15,1:Private company,1:Northeast,non-hispanic black,84054.75,61,148,1
0:female,39,"1:Married, sps in hh",14,1:Private company,3:South,non-hispanic white,38925.336,63,170,1
0:female,32,"1:Married, sps in hh",12,1:Private company,4:West,non-hispanic white,49430.109,65,130,1
0:female,41,3:Divorced,16,1:Private company,2:Midwest,non-hispanic white,38925.336,64,125,1
0:female,43,"1:Married, sps in hh",14,1:Private company,1:Northeast,non-hispanic white,44152.16,61,140,1
0:female,29,"1:Married, sps in hh",13,1:Private company,1:Northeast,non-hispanic white,84054.75,63,210,1
0:female,31,6:Never Married,12,1:Private company,3:South,non-hispanic black,44152.16,65,140,1
0:female,43,"1:Married, sps in hh",14,1:Private company,2:Midwest,non-hispanic white,84054.75,70,170,1
0:female,32,"1:Married, sps in hh",16,1:Private company,4:West,non-hispanic white,84054.75,65,138,1
0:female,60,"1:Married, sps in hh",13,2:Fed Govt emp,4:West,hispanic,84054.75,66,207,1
0:female,35,"1:Married, sps in hh",16,1:Private company,4:West,non-hispanic white,84054.75,62,135,1
0:female,55,"1:Married, sps in hh",12,1:Private company,2:Midwest,non-hispanic white,84054.75,67,163,1
0:female,26,"1:Married, sps in hh",12,3:State Govt emp,3:South,hispanic,33712.969,63,150,1
0:female,37,"1:Married, sps in hh",13,6:Self-employed,3:South,non-hispanic white,84054.75,66,501,1
0:female,37,"1:Married, sps in hh",16,2:Fed Govt emp,3:South,non-hispanic black,84054.75,64,115,1
0:female,59,3:Widowed,12,1:Private company,3:South,non-hispanic white,23362.873,66,125,1
0:female,49,"1:Married, sps in hh",18,1:Private company,3:South,non-hispanic white,84054.75,59,125,1
0:female,34,"1:Married, sps in hh",13,1:Private company,3:South,non-hispanic white,84054.75,64,155,1
0:female,38,"1:Married, sps in hh",12,3:State Govt emp,1:Northeast,non-hispanic black,33712.969,69,160,1
0:female,33,"1:Married, sps in hh",14,1:Private company,1:Northeast,non-hispanic white,84054.75,62,160,1
0:female,52,6:Never Married,18,4:Local Govt emp,3:South,non-hispanic black,28560.387,68,150,1
0:female,49,"1:Married, sps in hh",12,1:Private company,4:West,non-hispanic white,84054.75,65,155,1
0:female,37,3:Divorced,12,1:Private company,1:Northeast,non-hispanic white,33712.969,69,170,1
0:female,47,"1:Married, sps in hh",15,1:Private company,1:Northeast,non-hispanic white,84054.75,64,140,1
0:female,44,6:Never Married,13,2:Fed Govt emp,3:South,non-hispanic white,84054.75,65,501,1
0:female,38,6:Never Married,16,1:Private company,3:South,non-hispanic white,33712.969,63,180,1
0:female,35,"1:Married, sps in hh",17,4:Local Govt emp,4:West,non-hispanic white,84054.75,66,160,1
0:female,26,6:Never Married,16,1:Private company,4:West,hispanic,33712.969,61,107,1
0:female,60,"1:Married, sps in hh",12,3:State Govt emp,3:South,non-hispanic white,38925.336,64,136,1
0:female,47,"1:Married, sps in hh",13,1:Private company,3:South,non-hispanic white,84054.75,63,190,1
0:female,27,"1:Married, sps in hh",15,5:Incorporated bus,1:Northeast,non-hispanic white,84054.75,66,130,1
0:female,45,"1:Married, sps in hh",12,1:Private company,3:South,non-hispanic black,84054.75,61,200,1
0:female,53,3:Divorced,14,1:Private company,3:South,non-hispanic white,49430.109,68,140,1
0:female,32,"1:Married, sps in hh",12,3:State Govt emp,4:West,other,84054.75,62,501,1
0:female,43,6:Never Married,12,1:Private company,1:Northeast,non-hispanic white,33712.969,68,160,1
0:female,36,3:Divorced,14,1:Private company,1:Northeast,non-hispanic white,49430.109,70,125,1
0:female,30,"1:Married, sps in hh",14,1:Private company,3:South,hispanic,44152.16,69,180,1
0:female,33,"1:Married, sps in hh",13,1:Private company,4:West,non-hispanic white,84054.75,66,132,1
0:female,45,"1:Married, sps in hh",16,1:Private company,2:Midwest,non-hispanic white,84054.75,69,160,1
0:female,34,"1:Married, sps in hh",16,1:Private company,1:Northeast,non-hispanic white,84054.75,64,115,1
0:female,42,5:Separated,18,1:Private company,3:South,non-hispanic white,84054.75,65,105,1
0:female,44,3:Widowed,12,1:Private company,2:Midwest,non-hispanic white,33712.969,63,180,1
0:female,25,"1:Married, sps in hh",16,3:State Govt emp,3:South,non-hispanic white,23362.873,72,145,1
0:female,42,"1:Married, sps in hh",13,6:Self-employed,4:West,non-hispanic white,49430.109,69,130,1
0:female,43,3:Divorced,14,5:Incorporated bus,4:West,non-hispanic white,23362.873,69,130,1
0:female,46,3:Divorced,12,2:Fed Govt emp,4:West,non-hispanic white,33712.969,67,155,1
0:female,30,6:Never Married,16,1:Private company,4:West,non-hispanic white,23362.873,62,95,1
0:female,38,6:Never Married,18,1:Private company,4:West,other,84054.75,70,155,1
0:female,34,5:Separated,16,1:Private company,3:South,non-hispanic white,44152.16,65,130,1
0:female,35,3:Divorced,12,1:Private company,3:South,non-hispanic white,20305.51,66,143,1
0:female,33,3:Divorced,17,1:Private company,1:Northeast,non-hispanic white,84054.75,63,150,1
0:female,52,"1:Married, sps in hh",16,1:Private company,2:Midwest,non-hispanic white,44152.16,71,160,1
0:female,37,3:Divorced,12,1:Private company,3:South,non-hispanic white,28560.387,68,136,1
0:female,33,"1:Married, sps in hh",15,1:Private company,4:West,non-hispanic white,49430.109,64,140,1
0:female,38,"1:Married, sps in hh",16,2:Fed Govt emp,4:West,non-hispanic black,84054.75,65,150,1
0:female,31,"1:Married, sps in hh",15,1:Private company,1:Northeast,non-hispanic white,38925.336,64,120,1
0:female,46,"1:Married, sps in hh",14,2:Fed Govt emp,1:Northeast,non-hispanic white,84054.75,66,130,1
0:female,39,3:Divorced,12,4:Local Govt emp,1:Northeast,non-hispanic white,44152.16,62,120,1
0:female,26,3:Divorced,12,1:Private company,3:South,non-hispanic white,16081.588,69,130,1
0:female,32,"1:Married, sps in hh",16,1:Private company,4:West,non-hispanic white,23362.873,70,220,1
0:female,43,"1:Married, sps in hh",16,1:Private company,2:Midwest,non-hispanic white,84054.75,66,150,1
0:female,33,6:Never Married,16,1:Private company,3:South,non-hispanic black,17171.264,60,125,1
0:female,47,"1:Married, sps in hh",18,4:Local Govt emp,3:South,non-hispanic white,84054.75,70,150,1
0:female,30,"1:Married, sps in hh",13,2:Fed Govt emp,3:South,non-hispanic white,44152.16,63,137,1
0:female,28,6:Never Married,16,1:Private company,3:South,non-hispanic white,19237.195,70,135,1
0:female,43,"1:Married, sps in hh",16,1:Private company,2:Midwest,non-hispanic white,84054.75,65,122,1
0:female,38,"1:Married, sps in hh",15,1:Private company,4:West,non-hispanic black,84054.75,62,300,1
0:female,57,"1:Married, sps in hh",18,4:Local Govt emp,4:West,non-hispanic white,84054.75,68,160,1
0:female,46,"1:Married, sps in hh",14,1:Private company,3:South,non-hispanic white,84054.75,60,105,1
0:female,47,"2:Married, sps not in hh",12,6:Self-employed,1:Northeast,non-hispanic white,49430.109,68,190,1
0:female,36,"1:Married, sps in hh",16,1:Private company,1:Northeast,non-hispanic white,84054.75,61,110,1
0:female,41,"1:Married, sps in hh",18,4:Local Govt emp,3:South,other,84054.75,66,156,1
0:female,33,"1:Married, sps in hh",16,4:Local Govt emp,3:South,non-hispanic white,84054.75,60,145,1
0:female,32,"1:Married, sps in hh",14,1:Private company,1:Northeast,non-hispanic white,84054.75,63,118,1
0:female,33,"1:Married, sps in hh",12,1:Private company,4:West,non-hispanic white,44152.16,62,105,1
0:female,41,"1:Married, sps in hh",12,1:Private company,1:Northeast,non-hispanic white,84054.75,66,135,1
0:female,33,"1:Married, sps in hh",13,1:Private company,1:Northeast,non-hispanic white,84054.75,64,120,1
0:female,49,"1:Married, sps in hh",15,1:Private company,3:South,non-hispanic white,84054.75,62,120,1
0:female,45,"1:Married, sps in hh",11,1:Private company,3:South,non-hispanic white,38925.336,64,160,1
0:female,34,"1:Married, sps in hh",12,6:Self-employed,1:Northeast,non-hispanic white,84054.75,68,170,1
0:female,46,"1:Married, sps in hh",16,3:State Govt emp,3:South,other,84054.75,60,120,1
0:female,49,"1:Married, sps in hh",18,3:State Govt emp,3:South,non-hispanic black,84054.75,63,130,1
0:female,48,"1:Married, sps in hh",13,6:Self-employed,4:West,non-hispanic white,38925.336,60,130,1
0:female,28,"1:Married, sps in hh",15,1:Private company,3:South,non-hispanic white,28560.387,61,135,1
0:female,38,5:Separated,15,5:Incorporated bus,4:West,non-hispanic white,44152.16,66,130,1
0:female,28,6:Never Married,14,1:Private company,4:West,other,20305.51,66,140,1
0:female,42,"1:Married, sps in hh",16,3:State Govt emp,4:West,non-hispanic white,84054.75,66,200,1
0:female,39,"1:Married, sps in hh",14,4:Local Govt emp,1:Northeast,non-hispanic white,84054.75,67,165,1
0:female,51,3:Divorced,18,4:Local Govt emp,4:West,non-hispanic white,44152.16,67,140,1
0:female,39,"1:Married, sps in hh",14,1:Private company,3:South,non-hispanic white,84054.75,68,185,1
0:female,53,6:Never Married,14,1:Private company,3:South,hispanic,49430.109,64,153,1
0:female,28,6:Never Married,14,2:Fed Govt emp,4:West,non-hispanic white,33712.969,61,145,1
0:female,41,3:Divorced,12,1:Private company,2:Midwest,non-hispanic white,20305.51,63,105,1
0:female,34,6:Never Married,16,1:Private company,3:South,non-hispanic white,38925.336,66,150,1
0:female,32,"1:Married, sps in hh",12,1:Private company,2:Midwest,non-hispanic white,84054.75,59,125,1
0:female,47,3:Widowed,15,1:Private company,3:South,non-hispanic black,49430.109,64,250,1
0:female,65,3:Widowed,16,4:Local Govt emp,3:South,non-hispanic black,44152.16,65,209,1
0:female,41,"1:Married, sps in hh",14,1:Private company,4:West,non-hispanic white,84054.75,63,145,1
0:female,30,6:Never Married,16,1:Private company,1:Northeast,non-hispanic black,28560.387,68,150,1
0:female,26,6:Never Married,15,1:Private company,3:South,non-hispanic black,18168.842,65,160,1
0:female,29,"1:Married, sps in hh",16,1:Private company,2:Midwest,non-hispanic white,84054.75,71,220,1
0:female,27,"1:Married, sps in hh",16,1:Private company,3:South,non-hispanic white,84054.75,64,120,1
0:female,29,"1:Married, sps in hh",16,2:Fed Govt emp,1:Northeast,non-hispanic white,49430.109,61,100,1
0:female,37,"1:Married, sps in hh",18,1:Private company,4:West,non-hispanic white,84054.75,64,130,1
0:female,32,6:Never Married,10,4:Local Govt emp,3:South,non-hispanic black,7782.854,59,179,1
0:female,38,"1:Married, sps in hh",14,1:Private company,2:Midwest,non-hispanic white,49430.109,70,135,1
0:female,35,"1:Married, sps in hh",16,1:Private company,4:West,non-hispanic white,49430.109,64,135,1
0:female,46,"1:Married, sps in hh",16,4:Local Govt emp,3:South,non-hispanic black,84054.75,65,150,1
0:female,43,"1:Married, sps in hh",13,1:Private company,3:South,non-hispanic white,20305.51,66,140,1
0:female,34,"1:Married, sps in hh",18,1:Private company,3:South,non-hispanic white,84054.75,64,110,1
0:female,37,"1:Married, sps in hh",14,1:Private company,4:West,non-hispanic white,84054.75,65,112,1
0:female,47,3:Divorced,13,1:Private company,3:South,non-hispanic white,38925.336,67,170,1
0:female,46,3:Divorced,16,1:Private company,3:South,non-hispanic white,84054.75,62,110,1
0:female,49,3:Divorced,18,1:Private company,1:Northeast,non-hispanic white,84054.75,66,134,1
0:female,27,"1:Married, sps in hh",12,1:Private company,3:South,non-hispanic white,33712.969,60,135,1
0:female,38,"1:Married, sps in hh",12,1:Private company,4:West,non-hispanic white,49430.109,64,125,1
0:female,48,3:Divorced,14,1:Private company,1:Northeast,non-hispanic white,33712.969,67,140,1
0:female,41,3:Divorced,18,3:State Govt emp,1:Northeast,non-hispanic white,49430.109,63,125,1
0:female,25,6:Never Married,16,1:Private company,1:Northeast,hispanic,84054.75,59,95,1
0:female,42,"1:Married, sps in hh",18,1:Private company,2:Midwest,other,33712.969,67,200,1
0:female,44,"1:Married, sps in hh",18,1:Private company,1:Northeast,non-hispanic white,84054.75,66,135,1
0:female,59,3:Divorced,13,3:State Govt emp,3:South,non-hispanic white,33712.969,66,300,1
0:female,35,6:Never Married,16,1:Private company,3:South,non-hispanic white,84054.75,68,150,1
0:female,55,6:Never Married,16,3:State Govt emp,1:Northeast,non-hispanic white,23362.873,62,180,1
0:female,34,"1:Married, sps in hh",18,1:Private company,1:Northeast,other,49430.109,63,130,1
0:female,27,"1:Married, sps in hh",16,1:Private company,3:South,non-hispanic white,84054.75,65,125,1
0:female,49,3:Divorced,12,1:Private company,3:South,non-hispanic white,23362.873,62,115,1
0:female,59,3:Widowed,11,1:Private company,4:West,non-hispanic white,28560.387,62,145,1
0:female,39,"1:Married, sps in hh",14,1:Private company,3:South,non-hispanic white,33712.969,65,160,1
0:female,54,3:Divorced,14,1:Private company,4:West,non-hispanic white,11953.455,67,165,1
0:female,50,"1:Married, sps in hh",18,3:State Govt emp,1:Northeast,non-hispanic black,84054.75,64,129,1
0:female,37,6:Never Married,16,1:Private company,3:South,non-hispanic white,44152.16,64,118,1
0:female,34,"1:Married, sps in hh",15,1:Private company,3:South,non-hispanic white,38925.336,68,220,1
0:female,44,"1:Married, sps in hh",18,1:Private company,2:Midwest,non-hispanic white,84054.75,59,120,1
0:female,27,"1:Married, sps in hh",13,1:Private company,1:Northeast,non-hispanic white,84054.75,67,501,1
0:female,36,6:Never Married,16,1:Private company,1:Northeast,non-hispanic white,28560.387,62,114,1
0:female,31,"1:Married, sps in hh",12,1:Private company,3:South,non-hispanic white,49430.109,63,120,1
0:female,44,"1:Married, sps in hh",12,1:Private company,4:West,non-hispanic white,12954.766,63,180,1
0:female,29,6:Never Married,18,3:State Govt emp,4:West,non-hispanic white,84054.75,65,115,1
0:female,43,"1:Married, sps in hh",16,1:Private company,2:Midwest,non-hispanic white,84054.75,70,150,1
0:female,29,"1:Married, sps in hh",14,1:Private company,2:Midwest,other,28560.387,61,122,1
0:female,37,"1:Married, sps in hh",15,1:Private company,3:South,non-hispanic white,84054.75,64,138,1
0:female,26,"1:Married, sps in hh",17,1:Private company,1:Northeast,non-hispanic white,84054.75,69,120,1
0:female,46,"1:Married, sps in hh",12,1:Private company,2:Midwest,non-hispanic white,84054.75,63,180,1
0:female,54,"1:Married, sps in hh",13,1:Private company,3:South,non-hispanic white,84054.75,65,150,1
0:female,30,"1:Married, sps in hh",17,2:Fed Govt emp,2:Midwest,non-hispanic black,84054.75,68,135,1
0:female,26,"1:Married, sps in hh",18,1:Private company,1:Northeast,non-hispanic white,33712.969,63,125,1
0:female,50,"1:Married, sps in hh",10,6:Self-employed,3:South,non-hispanic white,23362.873,63,150,1
0:female,41,3:Divorced,5,1:Private company,3:South,non-hispanic black,33712.969,67,145,1
0:female,48,"1:Married, sps in hh",12,1:Private company,1:Northeast,non-hispanic white,84054.75,61,165,1
0:female,25,6:Never Married,14,1:Private company,2:Midwest,non-hispanic white,12954.766,64,130,1
0:female,35,"1:Married, sps in hh",12,1:Private company,2:Midwest,non-hispanic white,84054.75,61,100,1
0:female,36,"1:Married, sps in hh",14,5:Incorporated bus,1:Northeast,non-hispanic white,84054.75,64,113,1
0:female,49,"1:Married, sps in hh",12,1:Private company,4:West,non-hispanic white,84054.75,64,501,1
0:female,56,"1:Married, sps in hh",18,5:Incorporated bus,1:Northeast,non-hispanic white,84054.75,64,150,1
0:female,37,"1:Married, sps in hh",13,6:Self-employed,3:South,non-hispanic white,38925.336,68,130,1
0:female,44,5:Separated,12,1:Private company,3:South,non-hispanic white,33712.969,60,115,1
0:female,46,"1:Married, sps in hh",13,1:Private company,4:West,non-hispanic white,84054.75,65,138,1
0:female,45,"1:Married, sps in hh",16,2:Fed Govt emp,1:Northeast,non-hispanic white,84054.75,68,140,1
